Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,mins,o_reb,d_reb,stl,tov,fls,team,o_reb_pct,d_reb_pct,stl_pct,tov_pct,usg_pct
16,OG Anunoby,SF,25,TOR,67,2386,.476,.539,.387,.556,.838,.586,.189,.415,100,98,107,102,107,101,71,107,18.9,9.8,1628384,O.G. Anunoby,1610612761,TOR,67,33,34,35.6,29.5,32.3,2.0,0.2,0.3,4.4,4.9,2.5,0.066,0.084,1628384,O.G. Anunoby,1610612761,TOR,F,25.0,61,60,0.664,4.07,8.05,0.505,0.555,-0.05,1628384,O.G. Anunoby,1610612761,TOR,F,25.0,61,59,0.336,1.48,4.07,0.363,0.36,0.003,35.6,1.4,3.5,1.9,2.0,3.0,TOR,4.2,12.1,2.7,12.1,19.5
24,Patrick Baldwin Jr.,SF,20,GSW,31,226,.394,.440,.381,.541,.667,.546,.055,.771,83,80,106,99,85,94,21,199,-0.9,-7.8,1631116,Patrick Baldwin,1610612744,GSW,31,15,16,7.3,7.4,8.0,0.4,0.0,0.1,0.4,0.9,0.4,0.048,0.057,1631116,Patrick Baldwin,1610612744,GSW,F,20.0,24,22,0.744,1.58,2.67,0.594,0.551,0.043,1631116,Patrick Baldwin,1610612744,GSW,F,20.0,24,14,0.256,0.29,0.92,0.318,0.336,-0.018,7.3,0.0,1.3,0.2,0.4,0.5,GSW,0.5,18.6,1.3,9.0,22.8
50,Dāvis Bertāns,PF,30,DAL,45,492,.431,.737,.390,.603,.867,.618,.094,.881,91,134,108,111,111,106,35,227,18.5,12.3,202722,Davis Bertans,1610612742,DAL,45,20,25,10.9,9.1,8.3,0.5,0.0,0.1,0.9,1.1,0.6,0.051,0.066,202722,Davis Bertans,1610612742,DAL,F,30.0,43,39,0.667,1.79,3.3,0.542,0.55,-0.008,202722,Davis Bertans,1610612742,DAL,F,30.0,43,30,0.333,0.53,1.65,0.324,0.341,-0.017,10.9,0.2,1.0,0.2,0.2,1.2,DAL,2.3,10.3,1.1,5.7,16.2
63,Bogdan Bogdanović,SG,30,ATL,54,1508,.447,.506,.406,.566,.831,.586,.126,.589,94,92,112,104,106,101,47,152,25.7,6.3,203992,Bogdan Bogdanovic,1610612737,ATL,54,27,27,27.9,26.4,28.8,2.8,0.3,0.4,4.8,7.0,3.4,0.105,0.13,203992,Bogdan Bogdanovic,1610612737,ATL,G,30.0,51,51,0.605,4.55,8.16,0.558,0.546,0.011,203992,Bogdan Bogdanovic,1610612737,ATL,G,30.0,51,50,0.395,1.84,5.33,0.346,0.361,-0.015,27.9,0.4,2.6,0.8,1.2,1.6,ATL,1.6,10.4,1.4,9.2,19.8
64,Bojan Bogdanović,PF,33,DET,59,1893,.488,.539,.411,.570,.884,.627,.344,.400,103,98,114,104,113,108,129,103,43.2,92.7,202711,Bojan Bogdanovic,1610612765,DET,58,15,43,32.0,26.0,34.4,2.6,0.3,0.4,5.6,6.9,3.3,0.099,0.125,202711,Bojan Bogdanovic,1610612765,DET,F,34.0,56,56,0.619,3.98,6.98,0.57,0.548,0.023,202711,Bojan Bogdanovic,1610612765,DET,F,34.0,56,54,0.381,1.63,4.3,0.378,0.364,0.013,32.1,0.6,3.2,0.6,2.3,1.9,DET,2.0,11.3,0.9,11.7,25.9
102,John Butler,C,20,POR,19,221,.321,.500,.229,.396,.750,.411,.075,.660,67,91,63,73,96,71,28,170,-15.8,-18.7,1631219,John Butler Jr.,1610612757,POR,18,4,14,10.3,5.6,5.0,0.4,0.0,0.0,0.6,0.9,0.4,0.069,0.069,1631219,John Butler Jr.,1610612757,POR,F,20.0,18,16,0.664,1.94,3.94,0.493,0.554,-0.062,1631219,John Butler Jr.,1610612757,POR,F,20.0,18,12,0.336,0.67,2.0,0.333,0.343,-0.01,11.6,0.2,0.7,0.4,0.1,1.2,POR,1.5,7.3,1.5,1.8,11.0
106,Vlatko Čančar,PF,25,DEN,60,889,.476,.580,.374,.570,.927,.606,.181,.507,100,106,104,105,119,104,68,131,11.5,12.1,1628427,Vlatko Cancar,1610612743,DEN,60,38,22,14.8,15.1,14.5,1.3,0.1,0.1,2.4,3.5,1.6,0.088,0.103,1628427,Vlatko Cancar,1610612743,DEN,F,26.0,49,47,0.647,2.29,3.9,0.586,0.545,0.041,1628427,Vlatko Cancar,1610612743,DEN,F,26.0,49,40,0.353,0.71,2.12,0.337,0.36,-0.024,14.8,0.4,1.7,0.4,0.6,1.4,DEN,3.2,13.1,1.2,13.1,13.8
152,Moussa Diabaté,C,21,LAC,22,195,.511,.511,.500,.521,.625,.546,.340,.043,107,93,139,96,80,94,128,11,-2.3,-3.8,1631217,Moussa Diabate,1610612746,LAC,22,10,12,8.9,5.2,3.3,0.2,0.0,0.0,0.4,0.4,0.2,0.035,0.035,1631217,Moussa Diabate,1610612746,LAC,F,21.0,19,18,0.731,1.68,3.58,0.471,0.54,-0.07,1631217,Moussa Diabate,1610612746,LAC,F,21.0,19,10,0.269,0.42,1.32,0.32,0.35,-0.03,8.9,1.4,0.9,0.3,0.4,0.7,LAC,18.0,10.8,1.8,14.3,14.1
161,Luka Dončić,PG,23,DAL,66,2391,.496,.588,.342,.560,.742,.609,.479,.373,104,107,95,103,95,105,180,96,42.9,98.5,1629029,Luka Doncic,1610612742,DAL,66,33,33,36.2,54.7,66.7,8.0,0.8,1.4,15.0,21.5,10.2,0.147,0.187,1629029,Luka Doncic,1610612742,DAL,F-G,24.0,64,64,0.675,5.64,10.08,0.56,0.549,0.01,1629029,Luka Doncic,1610612742,DAL,F-G,24.0,64,63,0.325,1.53,4.86,0.315,0.354,-0.039,36.2,0.8,7.8,1.4,3.6,2.5,DAL,2.6,25.4,1.9,11.9,37.6
166,Jeff Dowtin,PG,25,TOR,25,259,.439,.488,.312,.482,.667,.500,.158,.281,92,89,87,88,85,86,59,72,-7.2,-9.9,1630288,Jeff Dowtin Jr.,1610612761,TOR,25,17,8,10.3,14.6,13.8,1.2,0.0,0.1,2.2,3.0,1.4,0.085,0.093,1630288,Jeff Dowtin Jr.,1610612761,TOR,G,26.0,19,16,0.646,1.47,2.79,0.528,0.531,-0.003,1630288,Jeff Dowtin Jr.,1610612761,TOR,G,26.0,19,13,0.354,0.37,1.53,0.241,0.363,-0.121,10.4,0.2,0.7,0.4,0.2,0.5,TOR,2.4,8.0,1.7,7.6,10.9
168,Goran Dragić,PG,36,TOT,58,870,.421,.468,.359,.499,.689,.514,.134,.433,89,85,99,91,88,88,50,112,-31.3,-47.5,201609,Goran Dragic,1610612749,MIL,57,26,31,15.0,25.0,26.3,2.6,0.4,0.3,4.6,6.7,3.3,0.105,0.133,201609,Goran Dragic,1610612749,MIL,G,37.0,54,52,0.663,1.61,3.28,0.492,0.531,-0.039,201609,Goran Dragic,1610612749,MIL,G,37.0,54,46,0.337,0.54,1.67,0.322,0.353,-0.031,15.0,0.3,1.1,0.2,1.1,1.1,MIL,2.1,8.2,0.7,15.1,21.1
264,Juancho Hernangómez,PF,27,TOR,42,614,.421,.660,.254,.496,.562,.504,.140,.588,89,120,70,91,72,87,53,152,-11.3,-18.7,1627823,Juancho Hernangomez,1610612761,TOR,42,20,22,14.6,13.5,9.0,0.6,0.0,0.0,1.2,1.6,0.7,0.044,0.049,1627823,Juancho Hernangomez,1610612761,TOR,F,27.0,38,37,0.648,2.37,3.92,0.604,0.548,0.056,1627823,Juancho Hernangomez,1610612761,TOR,F,27.0,38,29,0.352,0.89,2.13,0.42,0.364,0.056,14.6,0.6,2.3,0.4,0.4,1.0,TOR,4.6,19.1,1.3,11.0,9.4
265,Willy Hernangómez,C,28,NOP,38,458,.527,.544,.273,.536,.779,.610,.615,.065,111,99,76,98,100,105,231,17,-3.3,12.3,1626195,Willy Hernangomez,1610612740,NOP,38,23,15,12.0,16.5,13.8,0.9,0.1,0.1,1.4,2.3,1.1,0.053,0.064,1626195,Willy Hernangomez,1610612740,NOP,C-F,29.0,32,32,0.744,3.59,5.53,0.65,0.56,0.089,1626195,Willy Hernangomez,1610612740,NOP,C-F,29.0,32,24,0.256,0.59,1.91,0.311,0.356,-0.045,12.1,1.5,3.2,0.4,1.0,1.7,NOP,14.4,30.1,1.8,15.4,23.8
319,Nikola Jokić,C,27,DEN,69,2323,.632,.675,.383,.660,.822,.701,.406,.146,133,123,106,121,105,121,152,38,234.5,289.6,203999,Nikola Jokic,1610612743,DEN,69,48,21,33.7,75.0,63.8,9.8,1.0,0.8,16.4,24.5,11.6,0.131,0.155,203999,Nikola Jokic,1610612743,DEN,C,28.0,65,65,0.779,8.85,16.06,0.551,0.562,-0.011,203999,Nikola Jokic,1610612743,DEN,C,28.0,65,61,0.221,1.8,4.55,0.395,0.354,0.041,33.7,2.4,9.4,1.3,3.6,2.5,DEN,8.5,31.3,1.8,17.0,27.2
331,Nikola Jović,PF,19,MIA,15,204,.406,.588,.229,.464,.947,.530,.275,.507,85,107,63,85,121,91,103,131,-11.2,-7.9,1631107,Nikola Jovic,1610612748,MIA,15,7,8,13.6,16.8,14.9,0.7,0.2,0.3,1.8,2.0,1.1,0.04,0.067,1631107,Nikola Jovic,1610612748,MIA,F,20.0,9,9,0.714,3.78,5.56,0.68,0.568,0.112,1631107,Nikola Jovic,1610612748,MIA,F,20.0,9,7,0.286,1.11,2.22,0.5,0.362,0.138,13.6,0.6,1.5,0.5,0.7,1.3,MIA,5.0,13.1,1.7,11.4,19.0
347,Kevin Knox,PF-SF,23,TOT,63,952,.458,.596,.349,.556,.767,.579,.181,.560,96,109,97,102,98,100,68,145,7.0,-1.6,1628995,Kevin Knox II,1610612757,POR,62,12,50,15.0,14.9,10.5,0.5,0.0,0.0,1.1,1.2,0.5,0.033,0.037,1628995,Kevin Knox II,1610612757,POR,F,23.0,54,47,0.581,1.83,3.33,0.55,0.547,0.003,1628995,Kevin Knox II,1610612757,POR,F,23.0,54,41,0.419,0.76,2.41,0.315,0.37,-0.054,15.1,0.5,2.3,0.4,0.8,1.5,POR,3.9,17.3,1.2,12.2,18.4
386,Théo Maledon,PG,21,CHO,44,854,.402,.465,.295,.457,.851,.515,.291,.374,84,85,82,84,109,89,109,97,-45.0,-38.1,1630177,Theo Maledon,1610612766,CHA,44,14,30,19.4,37.9,39.4,3.5,0.4,0.4,6.4,8.9,4.3,0.091,0.113,1630177,Theo Maledon,1610612766,CHA,G,22.0,42,42,0.688,3.21,5.71,0.563,0.541,0.021,1630177,Theo Maledon,1610612766,CHA,G,22.0,42,37,0.312,1.07,2.6,0.413,0.356,0.057,19.4,0.3,2.5,0.8,1.3,1.4,CHO,1.7,13.9,2.1,17.1,17.0
392,Boban Marjanović,C,34,HOU,31,171,.683,.695,.000,.683,.741,.710,.450,.017,144,127,nan,125,95,122,169,4,16.6,18.4,1626246,Boban Marjanovic,1610612745,HOU,31,7,24,5.5,4.3,4.3,0.3,0.0,0.0,0.5,0.6,0.3,0.067,0.075,1626246,Boban Marjanovic,1610612745,HOU,C,34.0,26,24,0.756,1.38,2.27,0.61,0.563,0.048,1626246,Boban Marjanovic,1610612745,HOU,C,34.0,26,16,0.244,0.35,0.73,0.474,0.334,0.14,5.5,0.6,1.3,0.2,0.5,0.3,HOU,12.7,26.0,1.4,16.3,20.8
440,Marcus Morris,PF,33,LAC,65,1825,.426,.484,.364,.513,.782,.534,.135,.479,90,88,101,94,100,92,51,124,-41.2,-64.0,202694,Marcus Morris Sr.,1610612746,LAC,65,35,30,28.1,25.6,26.0,1.8,0.1,0.2,3.1,4.6,2.0,0.069,0.079,202694,Marcus Morris Sr.,1610612746,LAC,F,33.0,65,65,0.635,3.83,6.65,0.576,0.55,0.026,202694,Marcus Morris Sr.,1610612746,LAC,F,33.0,65,63,0.365,1.31,3.82,0.343,0.362,-0.019,28.1,0.4,3.5,0.6,0.9,2.1,LAC,1.8,13.9,1.1,7.6,17.6
467,Jusuf Nurkić,C,28,POR,52,1391,.519,.567,.361,.561,.661,.589,.380,.236,109,104,100,103,85,101,143,61,16.3,8.7,203994,Jusuf Nurkic,1610612757,POR,52,24,28,26.8,39.5,32.3,2.9,0.3,0.2,4.8,7.6,3.2,0.073,0.082,203994,Jusuf Nurkic,1610612757,POR,C,28.0,51,51,0.834,7.35,13.73,0.536,0.565,-0.03,203994,Jusuf Nurkic,1610612757,POR,C,28.0,51,40,0.166,1.1,2.73,0.403,0.357,0.046,26.8,2.2,6.9,0.8,2.3,3.6,POR,9.3,29.7,1.5,16.8,22.1
503,Kristaps Porziņģis,C,27,WAS,65,2120,.498,.559,.385,.565,.851,.627,.409,.350,105,102,107,104,109,108,153,90,40.9,108.8,204001,Kristaps Porzingis,1610612764,WAS,65,27,38,32.6,38.9,41.0,2.7,0.2,0.4,4.3,6.8,3.3,0.069,0.084,204001,Kristaps Porzingis,1610612764,WAS,F-C,27.0,61,61,0.729,6.18,13.16,0.469,0.558,-0.088,204001,Kristaps Porzingis,1610612764,WAS,F-C,27.0,61,59,0.271,1.66,4.89,0.339,0.355,-0.016,32.6,1.8,6.6,0.9,2.1,3.0,WAS,6.2,21.8,1.3,10.2,27.4
551,Luka Šamanić,PF,23,UTA,7,161,.456,.692,.258,.526,.692,.550,.228,.544,96,126,72,97,89,95,86,140,-2.2,-3.9,1629677,Luka Samanic,1610612762,UTA,7,2,5,23.0,23.3,22.0,2.1,0.0,0.4,2.4,4.9,2.6,0.092,0.11,1629677,Luka Samanic,1610612762,UTA,F,23.0,7,7,0.581,3.14,6.14,0.512,0.573,-0.062,1629677,Luka Samanic,1610612762,UTA,F,23.0,7,7,0.419,1.71,4.43,0.387,0.367,0.02,23.0,0.0,4.3,0.9,1.4,2.4,UTA,0.0,19.9,1.8,13.8,18.9
552,Dario Šarić,C-PF,28,TOT,57,806,.458,.506,.391,.540,.829,.583,.274,.415,96,92,108,99,106,100,103,107,-3.1,1.1,203967,Dario Saric,1610612760,OKC,57,26,31,14.1,16.8,13.6,1.3,0.1,0.1,2.2,3.3,1.5,0.077,0.089,203967,Dario Saric,1610612760,OKC,F-C,29.0,52,51,0.737,2.63,4.75,0.555,0.555,0.0,203967,Dario Saric,1610612760,OKC,F-C,29.0,52,45,0.263,0.6,1.69,0.352,0.349,0.003,14.1,0.9,2.7,0.4,1.0,1.7,OKC,7.1,21.4,1.2,15.1,19.2
558,Dennis Schröder,PG,29,LAL,66,1986,.415,.461,.329,.472,.857,.545,.388,.346,87,84,91,87,110,94,145,89,-94.8,-54.5,203471,Dennis Schroder,1610612747,LAL,67,37,30,29.6,40.1,45.3,4.4,0.4,0.6,8.3,11.5,5.4,0.111,0.136,203471,Dennis Schroder,1610612747,LAL,G,29.0,63,62,0.633,4.49,8.05,0.558,0.529,0.029,203471,Dennis Schroder,1610612747,LAL,G,29.0,63,62,0.367,1.46,4.67,0.313,0.362,-0.049,30.1,0.3,2.2,0.8,1.7,2.2,LAL,1.2,7.5,1.2,12.8,18.6
561,Alperen Şengün,C,20,HOU,75,2171,.553,.570,.333,.565,.715,.599,.360,.071,116,104,92,104,91,103,135,18,31.7,32.8,1630578,Alperen Sengun,1610612745,HOU,75,18,57,28.9,39.8,37.0,3.9,0.5,0.3,6.7,9.9,4.7,0.097,0.118,1630578,Alperen Sengun,1610612745,HOU,C,20.0,72,72,0.769,6.69,12.14,0.551,0.562,-0.01,1630578,Alperen Sengun,1610612745,HOU,C,20.0,72,67,0.231,1.35,3.64,0.37,0.359,0.011,28.9,3.2,5.8,0.9,2.6,3.4,HOU,12.1,22.3,1.6,17.3,21.4
604,Xavier Tillman Sr.,C,24,MEM,61,1180,.614,.632,.267,.621,.551,.621,.291,.049,129,115,74,114,70,107,109,13,46.3,27.7,1630214,Xavier Tillman,1610612763,MEM,61,40,21,19.3,24.6,17.0,1.6,0.1,0.1,2.8,4.0,1.9,0.064,0.075,1630214,Xavier Tillman,1610612763,MEM,F,24.0,59,58,0.717,3.92,7.58,0.517,0.553,-0.036,1630214,Xavier Tillman,1610612763,MEM,F,24.0,59,51,0.283,1.1,2.98,0.369,0.356,0.013,19.3,2.0,3.0,1.0,0.7,1.6,MEM,10.9,16.7,2.3,11.3,13.7
