,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
0,1,Precious Achiuwa,C,23,TOR,55,1140,.485,.564,.269,.521,.702,.554,.307,.267,102,103,74,96,90,95,115,69,-19.6,-25.1
1,2,Steven Adams,C,29,MEM,42,1133,.597,.599,.000,.597,.364,.564,.490,.004,126,109,,109,47,97,184,1,27.2,-10.7
2,3,Bam Adebayo,C,25,MIA,75,2598,.540,.545,.083,.541,.806,.592,.361,.011,114,100,23,99,103,102,135,3,-9.8,28.3
3,4,Ochai Agbaji,SG,22,UTA,59,1209,.427,.532,.355,.532,.812,.561,.179,.591,90,97,98,98,104,96,67,152,-9.9,-17.0
4,5,Santi Aldama,PF,22,MEM,77,1682,.470,.591,.353,.560,.750,.591,.274,.507,99,108,98,103,96,102,103,131,15.5,12.0
5,6,Nickeil Alexander-Walker,SG,24,TOT,59,884,.444,.515,.384,.547,.667,.565,.203,.539,93,94,106,100,85,97,76,139,1.3,-10.6
6,7,Nickeil Alexander-Walker,SG,24,UTA,36,528,.488,.578,.402,.591,.692,.609,.229,.512,103,106,112,108,89,105,86,132,15.6,10.4
7,8,Nickeil Alexander-Walker,SG,24,MIN,23,356,.384,.415,.361,.488,.619,.503,.168,.576,81,76,100,89,79,87,63,149,-14.3,-21.1
8,9,Grayson Allen,SG,27,MIL,72,1972,.440,.518,.399,.571,.905,.612,.226,.657,93,95,111,105,116,105,85,170,28.6,38.0
9,10,Jarrett Allen,C,24,CLE,68,2220,.644,.653,.100,.645,.733,.670,.353,.016,135,119,28,118,94,115,132,4,124.3,128.2
10,11,Jose Alvarado,PG,24,NOP,61,1310,.411,.488,.336,.496,.812,.525,.164,.505,86,89,93,91,104,90,61,130,-48.3,-59.4
11,12,Kyle Anderson,PF,29,MIN,69,1957,.509,.536,.410,.553,.735,.583,.275,.212,107,98,114,101,94,100,103,55,7.2,2.0
12,13,Giannis Antetokounmpo,PF,28,MIL,63,2024,.553,.596,.275,.572,.645,.605,.604,.134,116,109,76,105,83,104,227,35,67.3,78.4
13,14,Thanasis Antetokounmpo,PF,30,MIL,37,206,.435,.526,.000,.435,.500,.458,.478,.174,91,96,,80,64,79,179,45,-10.2,-13.7
14,15,Cole Anthony,PG,22,ORL,60,1552,.454,.500,.364,.516,.894,.570,.279,.338,96,91,101,95,114,98,105,87,-36.2,-15.1
15,16,OG Anunoby,SF,25,TOR,67,2386,.476,.539,.387,.556,.838,.586,.189,.415,100,98,107,102,107,101,71,107,18.9,9.8
16,17,Ryan Arcidiacono,PG,28,TOT,20,172,.243,.071,.348,.351,,.351,.000,.622,51,13,96,64,,60,,160,-14.3,-17.0
17,18,Ryan Arcidiacono,PG,28,NYK,11,26,.200,.000,.333,.300,,.300,.000,.600,42,,92,55,,52,,155,-2.5,-2.8
18,19,Ryan Arcidiacono,PG,28,POR,9,146,.250,.083,.350,.359,,.359,.000,.625,53,15,97,66,,62,,161,-11.9,-14.2
19,20,Deni Avdija,SF,22,WAS,76,2020,.437,.530,.297,.497,.739,.535,.285,.401,92,97,82,91,95,92,107,103,-56.4,-60.5
20,,,,,,,,,,,,,,,,,,,,,,,,,
21,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
24,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
25,21,Deandre Ayton,C,24,PHO,67,2035,.589,.597,.292,.592,.760,.617,.225,.027,124,109,81,109,97,106,85,7,83.7,69.5
26,22,Udoka Azubuike,C,23,UTA,36,359,.819,.819,,.819,.350,.774,.278,.000,172,150,,150,45,133,104,,39.5,31.1
27,23,Marvin Bagley III,C,23,DET,42,990,.529,.579,.288,.554,.750,.587,.283,.173,111,106,80,102,96,101,106,45,6.4,4.7
28,24,Patrick Baldwin Jr.,SF,20,GSW,31,226,.394,.440,.381,.541,.667,.546,.055,.771,83,80,106,99,85,94,21,199,-0.9,-7.8
29,25,LaMelo Ball,PG,21,CHO,36,1268,.411,.450,.376,.510,.836,.541,.169,.531,86,82,104,94,107,93,64,137,-50.3,-62.6
30,26,Mo Bamba,C,24,TOT,49,769,.485,.590,.387,.585,.661,.602,.257,.515,102,108,107,107,85,104,97,133,19.2,11.1
31,27,Mo Bamba,C,24,ORL,40,681,.495,.594,.398,.596,.686,.613,.238,.505,104,108,110,109,88,106,89,130,21.6,15.1
32,28,Mo Bamba,C,24,LAL,9,88,.407,.545,.312,.500,.545,.518,.407,.593,86,100,87,92,70,89,153,153,-2.4,-4.0
33,29,Paolo Banchero,PF,20,ORL,72,2430,.427,.471,.298,.465,.738,.529,.476,.254,90,86,83,85,94,91,179,66,-180.5,-140.5
34,30,Desmond Bane,SG,24,MEM,58,1841,.479,.534,.408,.568,.883,.606,.218,.433,101,97,113,104,113,104,82,112,42.0,50.5
35,31,Dalano Banton,PG,23,TOR,31,279,.423,.506,.294,.481,.708,.505,.185,.392,89,92,82,88,91,87,69,101,-16.8,-21.4
36,32,Dominick Barlow,PF,19,SAS,28,408,.535,.561,.000,.535,.720,.567,.291,.047,113,102,,98,92,98,109,12,-1.8,-2.8
37,33,Harrison Barnes,PF,30,SAC,82,2662,.473,.553,.374,.556,.847,.632,.522,.446,99,101,104,102,108,109,196,115,17.4,99.2
38,34,Scottie Barnes,SF,21,TOR,77,2678,.456,.505,.281,.487,.772,.524,.242,.220,96,92,78,89,99,90,91,57,-119.0,-127.9
39,35,RJ Barrett,SG,22,NYK,73,2475,.434,.495,.310,.485,.740,.531,.333,.332,91,90,86,89,95,91,125,86,-141.4,-136.6
40,36,Will Barton,SG,32,TOT,56,993,.379,.391,.367,.470,.787,.493,.129,.495,80,71,102,86,101,85,48,128,-54.9,-68.2
41,37,Will Barton,SG,32,WAS,40,782,.386,.395,.377,.477,.778,.504,.158,.484,81,72,104,88,99,87,59,125,-38.8,-47.3
42,38,Will Barton,SG,32,TOR,16,211,.354,.378,.333,.443,1.000,.451,.025,.532,75,69,92,81,128,78,10,137,-16.2,-20.9
43,39,Charles Bassey,C,22,SAS,35,508,.644,.661,.375,.656,.595,.658,.274,.059,136,121,104,120,76,113,103,15,29.8,23.1
44,40,Keita Bates-Diop,PF,27,SAS,67,1452,.508,.557,.394,.568,.793,.609,.323,.305,107,102,109,104,101,105,121,79,20.9,29.7
45,,,,,,,,,,,,,,,,,,,,,,,,,
46,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
49,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
50,41,Nicolas Batum,PF,34,LAC,78,1709,.420,.562,.391,.583,.708,.594,.126,.832,88,103,108,107,91,102,47,215,28.5,10.5
51,42,Darius Bazley,C,22,TOT,43,616,.454,.485,.377,.508,.543,.524,.383,.290,95,88,105,93,69,90,144,75,-13.6,-24.5
52,43,Darius Bazley,C,22,OKC,36,555,.449,.469,.400,.506,.554,.525,.411,.285,95,86,111,93,71,90,154,74,-12.3,-20.9
53,44,Darius Bazley,C,22,PHO,7,61,.480,.588,.250,.520,.400,.515,.200,.320,101,107,69,95,51,89,75,83,-1.3,-3.6
54,45,Bradley Beal,SG,29,WAS,50,1673,.506,.552,.365,.551,.842,.593,.260,.249,106,101,101,101,108,102,97,64,10.5,22.7
55,46,Malik Beasley,SG,26,TOT,81,2093,.395,.484,.357,.520,.769,.531,.069,.702,83,88,99,95,98,91,26,181,-46.8,-97.5
56,47,Malik Beasley,SG,26,UTA,55,1472,.396,.485,.359,.522,.841,.535,.066,.704,83,88,99,96,108,92,25,182,-30.5,-64.2
57,48,Malik Beasley,SG,26,LAL,26,621,.392,.481,.353,.515,.619,.521,.078,.698,82,88,98,94,79,90,29,180,-16.3,-33.3
58,49,MarJon Beauchamp,SF,22,MIL,52,701,.395,.485,.331,.492,.730,.513,.152,.584,83,89,92,90,93,88,57,151,-26.0,-35.4
59,50,Dāvis Bertāns,PF,30,DAL,45,492,.431,.737,.390,.603,.867,.618,.094,.881,91,134,108,111,111,106,35,227,18.5,12.3
60,51,Patrick Beverley,SG-PG,34,TOT,67,1816,.400,.529,.335,.511,.723,.534,.181,.664,84,97,93,94,92,92,68,171,-24.6,-36.8
61,52,Patrick Beverley,SG,34,LAL,45,1211,.402,.506,.348,.517,.780,.548,.207,.656,85,92,97,95,100,94,78,169,-13.8,-17.7
62,53,Patrick Beverley,PG,34,CHI,22,605,.395,.579,.309,.500,.533,.506,.126,.681,83,106,86,92,68,87,47,176,-10.8,-19.0
63,54,Saddiq Bey,SF,23,TOT,77,2129,.422,.483,.361,.513,.861,.564,.285,.500,89,88,100,94,110,97,107,129,-54.7,-31.6
64,55,Saddiq Bey,SF,23,DET,52,1500,.404,.460,.345,.488,.861,.552,.345,.483,85,84,96,89,110,95,129,125,-69.8,-40.4
65,56,Saddiq Bey,SF,23,ATL,25,629,.470,.552,.400,.578,.862,.599,.126,.543,99,101,111,106,110,103,47,140,15.2,8.8
66,57,Khem Birch,C,30,TOR,20,162,.594,.600,.500,.609,.800,.629,.156,.062,125,110,139,112,102,108,59,16,4.1,3.2
67,58,Goga Bitadze,C,23,TOT,38,457,.552,.636,.231,.576,.548,.582,.336,.208,116,116,64,106,70,100,126,54,7.7,.2
68,59,Goga Bitadze,C,23,IND,21,202,.519,.605,.286,.558,.458,.551,.462,.269,109,110,79,102,59,95,173,69,1.3,-3.7
69,60,Goga Bitadze,C,23,ORL,17,255,.575,.656,.167,.589,.667,.606,.247,.164,121,120,46,108,85,104,93,42,6.4,3.9
70,,,,,,,,,,,,,,,,,,,,,,,,,
71,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
74,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
75,61,Bismack Biyombo,C,30,PHO,61,874,.578,.578,,.578,.357,.555,.340,.000,122,105,,106,46,96,128,,13.4,-12.3
76,62,Buddy Boeheim,SF,23,DET,10,90,.185,.500,.160,.259,1.000,.287,.074,.926,39,91,44,48,128,49,28,239,-15.4,-16.4
77,63,Bogdan Bogdanović,SG,30,ATL,54,1508,.447,.506,.406,.566,.831,.586,.126,.589,94,92,112,104,106,101,47,152,25.7,6.3
78,64,Bojan Bogdanović,PF,33,DET,59,1893,.488,.539,.411,.570,.884,.627,.344,.400,103,98,114,104,113,108,129,103,43.2,92.7
79,65,Bol Bol,PF,23,ORL,70,1505,.546,.633,.265,.577,.759,.603,.226,.236,115,116,74,106,97,104,85,61,30.7,23.1
